"","Guild","QIIME2","SINGLE MICOP","PAIRED MICOP","KRAKEN2"
"1","Endofito-Patógeno",11.5739427805629,0,0,0
"2","Sap.Indefinido-Ectomi-Parásito",8.40325885331674,0,0,0
"3","Saprótrofo de madera",5.62571133790277,9.26400961346286,0,0
"4","Liquenizado",3.8663642460461,0,0,0
"5","Endofito-Sap.Idenfinido",3.83541169612607,0,0,0
"6","Sap. Estiércol y Madera",0,10.9580916617894,0,0
"7","Sap.Indefinido",0,9.58509178677725,0,0
"8","Patógeno-Sap.Planta",0,8.0421224586164,0,47.1033562138081
"9","Ectomicorriza",0,6.54789217897265,0,0
"10","Epífita",0,0,83.3409141983986,0
"11","Patógeno Animal-Sap.Indefinido",0,0,11.8170657118212,0
"12","Endófito-Patógeno planta",0,0,0,16.0313050026987
"13","Endófito-Patógeno planta",0,0,0,8.43021639510139
"14","Endófito-Patógeno-Saprótrofo",0,0,0,5.05663697046163
"15","Endófito-Patógeno planta",0,0,0,4.76456271724055
